,predict
2043-02-01,464.4703990447297
2043-03-01,465.36727107459024
2043-04-01,466.8796827512553
2043-05-01,467.47217465048755
2043-06-01,466.70671533114285
2043-07-01,465.04405436641537
2043-08-01,462.9461503220231
2043-09-01,461.55555282205347
2043-10-01,461.8241348243345
2043-11-01,463.34984724940995
2043-12-01,464.7626198669982
2044-01-01,465.9529749084262
2044-02-01,466.69209273195764
2044-03-01,467.5886460136303
2044-04-01,469.1005201794073
2044-05-01,469.69280150710546
2044-06-01,468.9276142318906
2044-07-01,467.2655441766261
2044-08-01,465.1683857270236
2044-09-01,463.77828244520157
2044-10-01,464.0467689934784
2044-11-01,465.5719391805817
2044-12-01,466.9842096989888
2045-01-01,468.1741416884097
2045-02-01,468.91299682957504
2045-03-01,469.80923147634286
2045-04-01,471.32056832226306
2045-05-01,471.9126391532642
2045-06-01,471.1477238254947
2045-07-01,469.4862444696842
2045-08-01,467.38983134988706
2045-09-01,466.0002221105675
2045-10-01,466.26861323876443
2045-11-01,467.7932413806069
2045-12-01,469.2050099782789
2046-01-01,470.39451906604523
2046-02-01,471.1331116182018
2046-03-01,472.0290277433076
2046-04-01,473.53982746033444
2046-05-01,474.1316878694491
2046-06-01,473.3670443924749
2046-07-01,471.70615552618375
2046-08-01,469.61048747130195
2046-09-01,468.2213720989023
2046-10-01,468.48966784093165
2046-11-01,470.0137541301561
2046-12-01,471.4250209854755
2047-01-01,472.6141073218865
2047-02-01,473.35243737835833
2047-03-01,474.2480350950047
2047-04-01,475.75829787403364
2047-05-01,476.3499479360457
2047-06-01,475.5855762132511
2047-07-01,473.92527762661945
2047-08-01,471.830354371857
2047-09-01,470.441732690857
2047-10-01,470.70993308061895
2047-11-01,472.23347770979973
2047-12-01,473.6442430010857
2048-01-01,474.83290673638714
